uri:/instrument/1.0/^gdaxi/chartdata;type=quote;range=1d/csv
ticker:^gdaxi
Company-Name:DAX
Exchange-Name:GER
unit:MIN
timezone:CEST
currency:EUR
gmtoffset:7200
previous_close:11100.2998
Timestamp:1434697200,1434729600
labels:1434697200,1434700800,1434704400,1434708000,1434711600,1434715200,1434718800,1434722400,1434726000,1434729600
values:Timestamp,close,high,low,open,volume
close:11008.1299,11244.8896
high:11023.7695,11246.2695
low:10997.9004,11239.9600
open:11007.9902,11244.9199
volume:0,0
1434721079,11087.1396,11089.9902,11082.0996,11084.6299,0
1434721139,11084.5596,11087.1396,11083.4004,11087.1396,0
1434721199,11065.6797,11082.2803,11060.3896,11082.2803,0
1434721259,11068.1396,11068.1396,11056.6699,11065.6797,0
1434721319,11064.0898,11068.1396,11061.0703,11068.1396,0
1434721379,11061.2598,11063.8604,11060.5303,11063.8604,0
1434721439,11072.3398,11072.3398,11056.0703,11061.2598,0
1434721499,11064.7305,11072.7500,11064.7305,11072.2695,0
1434721559,11053.3203,11064.7305,11050.2402,11064.7305,0
1434721619,11052.8301,11053.4297,11050.1504,11053.4297,0
1434721679,11050.3301,11054.0098,11043.0303,11052.7998,0
1434721739,11028.4004,11050.4600,11027.8301,11050.4600,0
1434721799,11008.1299,11028.7197,11008.0801,11028.5898,0
1434721859,11025.5898,11025.7305,10997.9004,11007.9902,0
1434721919,11029.9102,11030.9004,11020.8799,11025.7803,0
1434721979,11030.0801,11030.0801,11016.0498,11030.0000,0
1434722039,11025.5000,11031.7305,11024.7998,11030.2900,0
1434722099,11029.7002,11030.0996,11019.8799,11025.5000,0
1434722159,11026.7803,11030.7197,11017.6797,11030.7197,0
1434722219,11035.9004,11036.3398,11028.1602,11028.1602,0
1434722279,11039.7197,11043.6602,11030.5000,11035.4502,0
1434722339,11039.9902,11041.9600,11035.5596,11039.5898,0
